	LRU1			LRU2			LRU3				LFU1			LFU2			LFU3
average1		average2		average3			average1		average2		average3
85.7	14.3	77.42	22.58	68.67	31.33		85.87	14.13	76.93	23.07	68.57	31.43
fault	hit		fault	hit		fault	hit			fault	hit		fault	hit		fault	hit
83		17		78		22		72		28			82		18		74		26		66		34
89		11		83		17		68		32			93		7		84		16		78		22
90		10		80		20		75		25			86		14		81		19		73		27
84		16		78		22		66		34			87		13		80		20		71		29
80		20		74		26		66		34			81		19		74		26		68		32
89		11		81		19		73		27			91		9		87		13		72		28
85		15		73		27		67		33			84		16		74		26		66		34
89		11		83		17		75		25			92		8		84		16		76		24
83		17		72		28		65		35			84		16		80		20		73		27
93		7		86		14		78		22			94		6		85		15		73		27
86		14		77		23		66		34			84		16		75		25		67		33
87		13		77		23		70		30			90		10		73		27		70		30
86		14		78		22		71		29			90		10		80		20		70		30
79		21		72		28		66		34			84		16		72		28		66		34
90		10		81		19		77		23			89		11		81		19		75		25
81		19		71		29		60		40			85		15		73		27		59		41
86		14		79		21		71		29			86		14		78		22		66		34
87		13		76		24		70		30			83		17		76		24		67		33
85		15		74		26		62		38			83		17		70		30		64		36
80		20		74		26		67		33			84		16		71		29		65		35
84		16		77		23		66		34			90		10		82		18		67		33
86		14		76		24		67		33			85		15		76		24		68		32
82		18		77		23		70		30			84		16		73		27		67		33
85		15		77		23		71		29			90		10		83		17		69		31
84		16		82		18		74		26			85		15		76		24		74		26
89		11		79		21		61		39			88		12		74		26		56		44
77		23		70		30		63		37			88		12		66		34		65		35
91		9		82		18		69		31			90		10		80		20		70		30
89		11		80		20		71		29			86		14		76		24		71		29
83		17		76		24		69		31			86		14		71		29		70		30
87		13		80		20		75		25			89		11		77		23		72		28
88		12		80		20		70		30			90		10		79		21		71		29
84		16		75		25		66		34			86		14		78		22		68		32
87		13		73		27		65		35			86		14		76		24		62		38
86		14		78		22		69		31			83		17		81		19		72		28
88		12		74		26		64		36			91		9		82		18		70		30
90		10		81		19		73		27			82		18		78		22		70		30
74		26		63		37		57		43			82		18		73		27		57		43
88		12		80		20		73		27			86		14		79		21		74		26
92		8		84		16		76		24			90		10		81		19		72		28
85		15		76		24		68		32			88		12		78		22		68		32
91		9		81		19		70		30			86		14		73		27		64		36
85		15		77		23		69		31			84		16		77		23		73		27
85		15		73		27		63		37			85		15		75		25		66		34
81		19		73		27		62		38			81		19		76		24		64		36
91		9		84		16		78		22			90		10		80		20		76		24
84		16		72		28		63		37			83		17		71		29		60		40
87		13		77		23		65		35			84		16		76		24		61		39
78		22		73		27		65		35			82		18		70		30		68		32
86		14		75		25		63		37			85		15		76		24		73		27
81		19		72		28		66		34			84		16		74		26		66		34
81		19		76		24		67		33			83		17		72		28		61		39
86		14		76		24		66		34			88		12		78		22		69		31
88		12		78		22		67		33			87		13		83		17		71		29
91		9		85		15		74		26			89		11		82		18		73		27
89		11		82		18		72		28			90		10		75		25		68		32
84		16		74		26		69		31			83		17		73		27		69		31
88		12		83		17		77		23			86		14		78		22		68		32
83		17		77		23		67		33			82		18		73		27		65		35
83		17		79		21		72		28			85		15		77		23		69		31
84		16		73		27		63		37			84		16		69		31		61		39
86		14		79		21		74		26			86		14		76		24		72		28
88		12		73		27		66		34			84		16		81		19		70		30
91		9		83		17		73		27			90		10		86		14		77		23
85		15		79		21		67		33			86		14		75		25		67		33
86		14		81		19		68		32			88		12		77		23		66		34
84		16		74		26		61		39			84		16		72		28		60		40
88		12		84		16		75		25			88		12		82		18		72		28
86		14		68		32		57		43			87		13		75		25		64		36
81		19		73		27		66		34			77		23		74		26		70		30
92		8		82		18		76		24			92		8		81		19		75		25
89		11		85		15		74		26			89		11		80		20		78		22
84		16		78		22		69		31			83		17		75		25		68		32
81		19		73		27		59		41			82		18		78		22		63		37
87		13		77		23		68		32			86		14		76		24		72		28
84		16		77		23		69		31			84		16		76		24		67		33
87		13		78		22		72		28			85		15		80		20		68		32
85		15		81		19		67		33			83		17		77		23		69		31
84		16		76		24		70		30			82		18		72		28		71		29
89		11		82		18		68		32			88		12		82		18		71		29
78		22		74		26		68		32			78		22		67		33		63		37
87		13		77		23		68		32			85		15		75		25		70		30
91		9		84		16		77		23			93		7		87		13		78		22
87		13		77		23		70		30			86		14		79		21		67		33
90		10		83		17		72		28			84		16		76		24		69		31
84		16		79		21		69		31			83		17		74		26		66		34
84		16		74		26		62		38			85		15		79		21		68		32
81		19		72		28		63		37			85		15		70		30		63		37
90		10		86		14		78		22			89		11		78		22		76		24
87		13		77		23		68		32			85		15		76		24		62		38
90		10		80		20		70		30			90		10		79		21		68		32
84		16		77		23		70		30			89		11		77		23		74		26
84		16		72		28		66		34			83		17		74		26		65		35
89		11		84		16		75		25			86		14		76		24		74		26
84		16		79		21		72		28			86		14		82		18		70		30
84		16		72		28		64		36			85		15		75		25		68		32
87		13		78		22		73		27			82		18		78		22		71		29
80		20		70		30		63		37			82		18		76		24		65		35
89		11		80		20		70		30			85		15		81		19		69		31
86		14		77		23		70		30			84		16		80		20		68		32
